ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),Labelled energy consumption (kWh/year),CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
AS/NZS 2040.2:2000 (Legacy),Haier,5,N/A,90,N/A,480,N/A,"Warm/cold, Large, Normal Wash",N/A,107.47,N/A,-,N/A,Dual,N/A,China,-,N/A,-,N/A,-,N/A,-,N/A,20.7,N/A,-,N/A,Top,N/A,Agitator,N/A,XQJ50 31A,,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,N/A,1.5,N/A,-,N/A,-,N/A,"Warm/cold, Large, Normal wash",N/A,New Zealand,-,N/A,12656,Approved,60.0,N/A,128.17,N/A,Non-Drum,N/A,0.838,N/A,-,N/A,,,Single product class,Available,,,60.0,N/A,136.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0001
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,N/A,230,N/A,240,N/A,-,N/A,75.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,0.0,N/A,-,N/A,Front,N/A,Drum,N/A,W93,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,N/A,3.5,N/A,-,N/A,-,N/A,"Cotton No 4, 40C",N/A,New Zealand,-,N/A,12841,Approved,91.0,N/A,75.0,N/A,Drum,N/A,0.72,N/A,-,N/A,,,Single product class,Available,,,90.0,N/A,76.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0002
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,N/A,266,N/A,277,N/A,-,N/A,54.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,0.0,N/A,-,N/A,Front,N/A,Drum,N/A,WE12,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,N/A,3.5,N/A,-,N/A,-,N/A,"Cotton No3, 40 C",N/A,New Zealand,-,N/A,12843,Approved,145.0,N/A,55.0,N/A,Drum,N/A,0.58,N/A,-,N/A,,,Single product class,Available,,,145.0,N/A,55.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0003
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,N/A,133,N/A,327,N/A,-,N/A,57.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,11.0,N/A,-,N/A,Front,N/A,Drum,N/A,WD11,,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,N/A,3.0,N/A,-,N/A,-,N/A,"No 2, 40 C",N/A,New Zealand,-,N/A,12844,Approved,122.0,N/A,68.0,N/A,Drum,N/A,0.6,N/A,-,N/A,,,Single product class,Available,,,120.0,N/A,72.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0004
AS/NZS 2040.2:2000 (Legacy),MALBER,6,N/A,-,N/A,231,N/A,-,N/A,56.7,N/A,-,N/A,Cold,N/A,Italy,-,N/A,545.0,N/A,-,N/A,850.0,N/A,0.5,N/A,-,N/A,Front,N/A,Drum,N/A,6,,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,N/A,3.5,N/A,-,N/A,-,N/A,P3,N/A,"Australia,New Zealand",-,N/A,19116,Approved,120.0,N/A,57.2,N/A,Drum,N/A,0.673,N/A,595.0,N/A,,,Single product class,Available,,,120.0,N/A,57.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0007
AS/NZS 2040.2:2000 (Legacy),CANDY,5,N/A,-,N/A,654,N/A,-,N/A,62.3,N/A,Yes,N/A,Dual,N/A,Italy,-,N/A,-,N/A,Drum,N/A,-,N/A,0.5,N/A,-,N/A,Front,N/A,Drum,N/A,CB 103 TR,,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,N/A,1.0,N/A,-,N/A,-,N/A,"Program 1, Temp  90 C",N/A,New Zealand,-,N/A,21310,Approved,124.0,N/A,62.8,N/A,Drum,N/A,0.64,N/A,-,N/A,,,Single product class,Available,,,124.0,N/A,63.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,,ZCW0008
EE Amendment Regulations 2025 Schedule 2C,AWARD,8,-,-,0,292,0,-,-,-,0.0,No,-,Cold,-,Türkiye,Yes,-,527.0,0.0,Drum,-,845.0,0.0,-,0.0,Yes on the warm wash program only,-,Front,-,-,-,CW81402,,AS/NZS 2040.1:2005/Amdt 3:2010,4.138460382786601,0.0,4.0,0.0,0.00028,0.0,0.58,0.0,"Cotton 40 C, 1400 rpm",-,New Zealand,0.09,0.0,128946,Approved,240.0,0.0,0.0,0.0,Drum,-,0.57088,0.0,597.0,0.0,2120-05-20,,Single product class,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,240.0,0.0,68.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0141
EE Amendment Regulations 2025 Schedule 2C,AWARD,9,-,-,0,330,0,-,-,-,0.0,No,-,Cold,-,Türkiye,Yes,-,582.0,0.0,Drum,-,845.0,0.0,-,0.0,Yes on the warm wash program only,-,Front,-,-,-,CW91402,,AS/NZS 2040.1:2005/Amdt 3:2010,4.077812413951309,0.0,4.0,0.0,0.21,0.0,0.82,0.0,"Cotton Eco, 40 c",-,New Zealand,0.21,0.0,129113,Approved,240.0,0.0,0.0,0.0,Drum,-,0.59775,0.0,597.0,0.0,2120-05-25,,Single product class,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,240.0,0.0,77.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0142
EE Amendment Regulations 2025 Schedule 2C,Midea,5.5,-,-,0,426,0,-,-,-,0.0,No,-,Dual,-,China,Yes,-,-,0.0,Non Drum,-,-,0.0,-,0.0,No,-,Top,-,Impeller,-,DMWM55G2,,AS/NZS 2040.1:2005/Amdt 3:2010,2.211132675430318,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Normal,-,New Zealand,0.3,0.0,130976,Approved,90.0,0.0,0.0,0.0,Non-Drum,-,0.7279,0.0,-,0.0,2120-07-23,,Single product class,Unavailable,,,90.0,0.0,78.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0143
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SEIKI,12,-,-,-,1190,-,-,-,-,-,No,-,Dual,-,China,No,-,695.0,-,Non Drum,-,1065.0,-,-,-,Yes on the warm wash program only,-,Top,-,Impeller,-,SC-1200AU7TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,1.5341254099832662,-,1.5,-,0.0,-,0.85,-,"Cotton, water level:Max, Temp:warm",-,"Australia,Fiji,New Zealand",0.85,-,128438,Approved,162.0,-,0.0,-,Non-Drum,-,0.8126,-,680.0,-,2030-09-01,,Single product class,Available,http://www.ayonz.com/,,162.0,-,174.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW1602
EE Amendment Regulations 2025 Schedule 2C,Eurotech,7,-,-,-,489,-,N/A,-,-,-,No,-,Dual,-,China,No,-,565.0,-,Non Drum,-,935.0,-,-,-,No,-,Top,-,Impeller,-,ED-TLW7KGWH,,AS/NZS 2040.1:2005/Amdt 3:2010,2.480622790013354,-,2.0,-,0.0,-,0.0,-,Normal,-,New Zealand,0.8,-,134652,Approved,102.0,-,0.0,-,Non-Drum,-,0.7147,-,550.0,-,2120-12-14,,Single product class,Available,,http://www.eurotechdesign.co.nz/,102.0,-,91.1,-,0.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0154
EE Amendment Regulations 2025 Schedule 2C,Tuscany,7,-,-,-,489,-,N/A,-,-,-,No,-,Dual,-,China,No,-,565.0,-,Non Drum,-,935.0,-,-,-,No,-,Top,-,Impeller,-,T-TLW7KGWH,,AS/NZS 2040.1:2005/Amdt 3:2010,2.480622790013354,-,2.0,-,0.0,-,0.0,-,Normal,-,New Zealand,0.8,-,134662,Approved,102.0,-,0.0,-,Non-Drum,-,0.7147,-,550.0,-,2120-12-14,,Single product class,Available,,,102.0,-,91.1,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0155
EE Amendment Regulations 2025 Schedule 2C,Vision,6,-,-,-,272,-,-,-,-,-,No,-,Cold,-,China,Yes,-,545.0,-,Drum,-,845.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,LDWM06-VW-1,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6066018717258124,-,3.5,-,0.0001,-,0.45,-,Standard Cotton & Spin Speed 1200,-,New Zealand,0.45,-,135081,Approved,160.0,-,0.0,-,Drum,-,0.6103,-,595.0,-,2121-01-11,,Single product class,Available,,,160.0,-,61.0,-,61.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0156
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,HELLER,8,-,51,-,466,-,"Standard, Water Supply: Cold & Hot, Water Level:8",-,108.0,-,No,-,Dual,-,China,Yes,-,580.0,-,Non Drum,-,985.0,-,0.0,-,No,-,Top,-,Impeller,-,HWM8TL,,AS/NZS 2040.1:2005/Amdt 3:2010,2.5888473287200364,-,2.5,-,0.0,-,1.93,-,"Standard, Water Supply: Cold & Hot, Water Level:8",-,"Australia,Fiji,New Zealand",0.82,-,137012,Approved,57.0,-,108.0,-,Non-Drum,-,0.965,-,570.0,-,2026-04-29,,Single product class,Available,http://www.gafcontrol.com.au/,http://www.gafcontrol.com.au ,48.0,-,108.0,-,108.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1078
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,WHIRLPOOL,8,-,-,-,310,-,-,-,-,-,No,-,Cold,-,Slovakia,Yes,-,620.0,-,Drum,-,845.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,FDLR80250,,AS/NZS 2040.1:2005/Amdt 3:2010,4.023735467519703,-,4.0,-,0.000285,-,0.234,-,"eCotton 60 degree C, 1400rpm",-,"Australia,Fiji,New Zealand",0.234,-,137345,Approved,305.3,-,0.0,-,Drum,-,0.565,-,595.0,-,2026-05-03,,Single product class,Available,http://www.whirlpool.com.au/,,305.3,-,68.9,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1079
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,LG,7.5,-,-,-,224,-,-,-,-,-,No,-,Cold,-,"China,South Korea,Thailand,Vietnam",Yes,-,470.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WD1275A1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.508996464920944,-,4.5,-,0.000278,-,0.421,-,"Cotton Eco, 40℃, Spin 1200",-,"Australia,New Zealand",0.423,-,137685,Approved,346.0,-,0.0,-,Drum,-,0.58608,-,600.0,-,2026-05-07,,Single product class,Available,,,346.0,-,77.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1082
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,5.5,-,54,-,499,-,Regular; High; Cold; Eco,-,50.93,-,No,-,Dual,-,Thailand,No,-,-,-,Non Drum,-,-,-,25.92,-,No,-,Top,-,Agitator,-,WA55T56M,MW513,AS/NZS 2040.1:2005/Amdt 3:2010,1.9248844431808214,-,1.5,-,0.004,-,1.2,-,Regular; High; Warm; Eco,-,"Australia,New Zealand",-,-,137787,Approved,43.0,-,76.85,-,Non-Drum,-,0.63,-,-,-,2026-05-24,,Single product class,Available,http://www.fisherpaykel.co.nz/,,43.0,-,77.0,-,77.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW1081
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,FISHER & PAYKEL,5.5,-,54,-,499,-,Regular; High; Cold; Eco,-,50.93,-,No,-,Dual,-,Thailand,No,-,-,-,Non Drum,-,-,-,25.92,-,No,-,Top,-,Agitator,-,MW513,MW513,AS/NZS 2040.1:2005/Amdt 3:2010,1.9248844431808214,-,1.5,-,0.004,-,1.2,-,Regular; High; Warm; Eco,-,"Australia,New Zealand",-,-,137787,Approved,43.0,-,76.85,-,Non-Drum,-,0.63,-,-,-,2026-05-24,,Single product class,Available,http://www.fisherpaykel.co.nz/,,43.0,-,77.0,-,77.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW1081
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,8,-,-,-,235,-,-,-,-,-,Yes,-,Cold,-,Germany,Yes,-,637.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WTD160WCS,,AS/NZS 2040.1:2005/Amdt 3:2010,4.788173325993259,-,4.5,-,0.0008,-,0.2004,-,ECO 40-60,-,"Australia,New Zealand",0.22165,-,138093,Approved,300.0,-,0.0,-,Drum,-,0.48,-,596.0,-,2026-06-08,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,300.0,-,67.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1097
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,8,-,-,-,235,-,-,-,-,-,Yes,-,Cold,-,Germany,Yes,-,637.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WTR870WPM,,AS/NZS 2040.1:2005/Amdt 3:2010,4.776578271142453,-,4.5,-,0.0011,-,0.04577,-,ECO 40-60,-,"Australia,New Zealand",0.04579,-,138104,Approved,301.0,-,0.0,-,Drum,-,0.48,-,596.0,-,2026-05-28,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,301.0,-,67.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1086
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,MIELE,9,-,-,-,230,-,-,-,-,-,Yes,-,Cold,-,Germany,Yes,-,714.0,-,Drum,-,850.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,WTW870WPM,,AS/NZS 2040.1:2005/Amdt 3:2010,5.0036628329049515,-,5.0,-,0.0011,-,0.04524,-,ECO 40-60,-,"Australia,New Zealand",0.04515,-,138106,Approved,301.0,-,0.0,-,Drum,-,0.5,-,596.0,-,2026-05-28,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,301.0,-,76.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ACW1087
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,ELECTROLUX,7.5,-,-,-,342,-,-,-,-,-,No,-,Cold,-,Thailand,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,EWF7524D3WB,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6315955603603096,-,3.5,-,0.0,-,1.742,-,"Energy Saver 40deg C, 1200rpm",-,"Australia,New Zealand",0.499,-,138492,Approved,270.6,-,0.0,-,Drum,-,0.588,-,-,-,2026-06-04,,Single product class,Available,,http://www.electrolux.com.au,271.0,-,75.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ACW1095
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,HELLER,7,-,-,-,329,-,-,-,-,-,No,-,Cold,-,China,Yes,-,410.0,-,Drum,-,845.0,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HFLW7,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5534973119721047,-,3.5,-,0.13,-,0.48,-,ECO 40-60 & Temp.60°C & Spin speed 1200,-,"Australia,Fiji,New Zealand",0.48,-,138608,Approved,175.0,-,0.0,-,Drum,-,0.5939,-,595.0,-,2026-06-29,,Single product class,Available,http://www.gafcontrol.com.au/,http://www.gafcontrol.com.au ,170.0,-,85.0,-,85.0,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ACW1108
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SEIKI,6,-,-,-,487,-,-,-,-,-,No,-,Dual,-,China,No,-,952.0,-,Non Drum,-,545.0,-,-,-,No,-,Top,-,Impeller,-,SC-6000AU7TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,2.143867620458713,-,2.0,-,0.0,-,0.9,-,Normal,-,"Australia,Fiji,New Zealand",0.9,-,138612,Approved,150.0,-,0.0,-,Non-Drum,-,69.1,-,520.0,-,2026-05-27,,Single product class,Available,http://www.ayonz.com/,,150.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW1084
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SEIKI,7,-,-,-,580,-,-,-,-,-,No,-,Dual,-,China,No,-,940.0,-,Non Drum,-,562.0,-,-,-,No,-,Top,-,Impeller,-,SC-7000AU7TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,2.0935007250239437,-,2.0,-,0.0,-,0.9,-,"Normal, Water Level 8, Warm Temp",-,"Australia,Fiji,New Zealand",0.9,-,138614,Approved,162.0,-,0.0,-,Non-Drum,-,69.04,-,540.0,-,2026-05-27,,Single product class,Available,http://www.ayonz.com/,,162.0,-,86.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ACW1085
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SEIKI,10,-,-,-,915,-,-,-,-,-,No,-,Dual,-,China,No,-,985.0,-,Non Drum,-,626.0,-,-,-,No,-,Top,-,Impeller,-,SC-1000AU7TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,1.8014552089836373,-,1.5,-,0.0,-,1.2,-,"Normal, Max. Water Level, Warm Temperature’.",-,"Australia,Fiji,New Zealand",1.2,-,138615,Approved,144.0,-,0.0,-,Non-Drum,-,0.7371,-,601.0,-,2026-06-02,,Single product class,Available,http://www.ayonz.com/,,144.0,-,144.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW1094
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,7.5,-,-,-,255,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF75AN1,,AS/NZS 2040.1:2005/Amdt 3:2010,4.259438848727811,-,4.0,-,2e-05,-,0.728,-,"Cotton, 40℃, 1400rpm",-,"Australia,Fiji,New Zealand",-,-,138700,Approved,312.0,-,0.0,-,Drum,-,0.5842,-,-,-,2026-05-31,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,315.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1090
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,8,-,-,-,238,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF80AN1,HWF80AN**,AS/NZS 2040.1:2005/Amdt 3:2010,4.526809477084292,-,4.5,-,2e-05,-,0.891,-,"Cotton, 40℃, 1400rpm, No Auto Dose",-,"Australia,Fiji,New Zealand",-,-,138770,Approved,321.0,-,0.0,-,Drum,-,0.579,-,-,-,2026-05-31,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,322.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1092
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,8,-,-,-,238,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF80AN**,HWF80AN**,AS/NZS 2040.1:2005/Amdt 3:2010,4.526809477084292,-,4.5,-,2e-05,-,0.891,-,"Cotton, 40℃, 1400rpm, No Auto Dose",-,"Australia,Fiji,New Zealand",-,-,138770,Approved,321.0,-,0.0,-,Drum,-,0.579,-,-,-,2026-05-31,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,322.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1092
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,8,-,-,-,238,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF80ANB1,HWF80AN**,AS/NZS 2040.1:2005/Amdt 3:2010,4.526809477084292,-,4.5,-,2e-05,-,0.891,-,"Cotton, 40℃, 1400rpm, No Auto Dose",-,"Australia,Fiji,New Zealand",-,-,138770,Approved,321.0,-,0.0,-,Drum,-,0.579,-,-,-,2026-05-31,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,322.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1092
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,ELECTROLUX,8,-,-,-,274,-,-,-,-,-,No,-,Cold,-,Thailand,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,EWF8024Q5WB,,AS/NZS 2040.1:2005/Amdt 3:2010,4.32364808037199,-,4.0,-,0.0,-,1.397,-,"Energy Saver 40degC, 1200rpm",-,"Australia,Fiji,New Zealand",0.366,-,138806,Approved,216.1,-,0.0,-,Drum,-,0.544,-,-,-,2026-06-10,,Single product class,Available,,http://www.electrolux.com.au,216.0,-,68.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ACW1101
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Haier,10,-,-,-,289,-,-,-,-,-,No,-,Cold,-,China,Yes,-,-,-,Drum,-,-,-,-,-,Yes on the warm wash program only,-,Front,-,-,-,HWF10AN1,HWF10AN**,AS/NZS 2040.1:2005/Amdt 3:2010,4.531639760757688,-,4.5,-,2e-05,-,0.749,-,"Cotton, 40℃, 1400rpm, No Auto Dose",-,"Australia,Fiji,New Zealand",-,-,138811,Approved,349.0,-,0.0,-,Drum,-,0.6045,-,-,-,2026-06-15,,Single product class,Available,http://www.haier.cn/,http://www.haier.com.au/,354.0,-,86.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1103
