ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),Labelled energy consumption (kWh/year),CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,7.5,-,-,-,215,-,-,-,-,-,No,-,Cold,-,China,Yes,-,560.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH75A,KATFWASH75*,AS/NZS 2040.1:2005/Amdt 3:2010,4.705247577883954,-,4.5,-,0.0,-,0.45,-,"Cotton, 40℃,1400rpm",-,"Australia,Fiji,New Zealand",0.45,-,152511,Approved,300.0,-,0.0,-,Drum,-,0.5336,-,600.0,-,2028-02-19,,Single product class,Available,,http://www.kogan.com/au/,300.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1298
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,7.5,-,-,-,215,-,-,-,-,-,No,-,Cold,-,China,Yes,-,560.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH75B,KATFWASH75*,AS/NZS 2040.1:2005/Amdt 3:2010,4.705247577883954,-,4.5,-,0.0,-,0.45,-,"Cotton, 40℃,1400rpm",-,"Australia,Fiji,New Zealand",0.45,-,152511,Approved,300.0,-,0.0,-,Drum,-,0.5336,-,600.0,-,2028-02-19,,Single product class,Available,,http://www.kogan.com/au/,300.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1298
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,7.5,-,-,-,215,-,-,-,-,-,No,-,Cold,-,China,Yes,-,560.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH75C,KATFWASH75*,AS/NZS 2040.1:2005/Amdt 3:2010,4.705247577883954,-,4.5,-,0.0,-,0.45,-,"Cotton, 40℃,1400rpm",-,"Australia,Fiji,New Zealand",0.45,-,152511,Approved,300.0,-,0.0,-,Drum,-,0.5336,-,600.0,-,2028-02-19,,Single product class,Available,,http://www.kogan.com/au/,300.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1298
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,7.5,-,-,-,215,-,-,-,-,-,No,-,Cold,-,China,Yes,-,560.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH75D,KATFWASH75*,AS/NZS 2040.1:2005/Amdt 3:2010,4.705247577883954,-,4.5,-,0.0,-,0.45,-,"Cotton, 40℃,1400rpm",-,"Australia,Fiji,New Zealand",0.45,-,152511,Approved,300.0,-,0.0,-,Drum,-,0.5336,-,600.0,-,2028-02-19,,Single product class,Available,,http://www.kogan.com/au/,300.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1298
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,7.5,-,-,-,215,-,-,-,-,-,No,-,Cold,-,China,Yes,-,560.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH75*,KATFWASH75*,AS/NZS 2040.1:2005/Amdt 3:2010,4.705247577883954,-,4.5,-,0.0,-,0.45,-,"Cotton, 40℃,1400rpm",-,"Australia,Fiji,New Zealand",0.45,-,152511,Approved,300.0,-,0.0,-,Drum,-,0.5336,-,600.0,-,2028-02-19,,Single product class,Available,,http://www.kogan.com/au/,300.0,-,64.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1298
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8.5,-,-,-,258,-,-,-,-,-,No,-,Cold,-,China,Yes,-,630.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH85A,KATFWASH85*,AS/NZS 2040.1:2005/Amdt 3:2010,4.5950628813667524,-,4.5,-,0.0,-,0.5,-,"Cotton, 40℃,1200rpm",-,"Australia,Fiji,New Zealand",0.5,-,152514,Approved,300.8,-,0.0,-,Drum,-,0.5324,-,600.0,-,2028-02-21,,Single product class,Available,,http://www.kogan.com/au/,300.8,-,72.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1299
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8.5,-,-,-,258,-,-,-,-,-,No,-,Cold,-,China,Yes,-,630.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH85B,KATFWASH85*,AS/NZS 2040.1:2005/Amdt 3:2010,4.5950628813667524,-,4.5,-,0.0,-,0.5,-,"Cotton, 40℃,1200rpm",-,"Australia,Fiji,New Zealand",0.5,-,152514,Approved,300.8,-,0.0,-,Drum,-,0.5324,-,600.0,-,2028-02-21,,Single product class,Available,,http://www.kogan.com/au/,300.8,-,72.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1299
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8.5,-,-,-,258,-,-,-,-,-,No,-,Cold,-,China,Yes,-,630.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH85D,KATFWASH85*,AS/NZS 2040.1:2005/Amdt 3:2010,4.5950628813667524,-,4.5,-,0.0,-,0.5,-,"Cotton, 40℃,1200rpm",-,"Australia,Fiji,New Zealand",0.5,-,152514,Approved,300.8,-,0.0,-,Drum,-,0.5324,-,600.0,-,2028-02-21,,Single product class,Available,,http://www.kogan.com/au/,300.8,-,72.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1299
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8.5,-,-,-,258,-,-,-,-,-,No,-,Cold,-,China,Yes,-,630.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH85C,KATFWASH85*,AS/NZS 2040.1:2005/Amdt 3:2010,4.5950628813667524,-,4.5,-,0.0,-,0.5,-,"Cotton, 40℃,1200rpm",-,"Australia,Fiji,New Zealand",0.5,-,152514,Approved,300.8,-,0.0,-,Drum,-,0.5324,-,600.0,-,2028-02-21,,Single product class,Available,,http://www.kogan.com/au/,300.8,-,72.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1299
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8.5,-,-,-,258,-,-,-,-,-,No,-,Cold,-,China,Yes,-,630.0,-,Drum,-,850.0,-,-,-,Yes on both the warm and cold wash programs,-,Front,-,-,-,KATFWASH85*,KATFWASH85*,AS/NZS 2040.1:2005/Amdt 3:2010,4.5950628813667524,-,4.5,-,0.0,-,0.5,-,"Cotton, 40℃,1200rpm",-,"Australia,Fiji,New Zealand",0.5,-,152514,Approved,300.8,-,0.0,-,Drum,-,0.5324,-,600.0,-,2028-02-21,,Single product class,Available,,http://www.kogan.com/au/,300.8,-,72.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,,ACW1299
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8,-,-,-,500,-,-,-,-,-,No,-,Dual,-,China,Yes,-,556.0,-,Non Drum,-,922.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH8A,KATTLWASH8*,AS/NZS 2040.1:2005/Amdt 3:2010,2.7178318889641697,-,2.5,-,0.0,-,0.8,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.8,-,152515,Approved,123.198,-,0.0,-,Non-Drum,-,0.7323,-,556.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,123.198,-,90.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1296
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8,-,-,-,500,-,-,-,-,-,No,-,Dual,-,China,Yes,-,556.0,-,Non Drum,-,922.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH8B,KATTLWASH8*,AS/NZS 2040.1:2005/Amdt 3:2010,2.7178318889641697,-,2.5,-,0.0,-,0.8,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.8,-,152515,Approved,123.198,-,0.0,-,Non-Drum,-,0.7323,-,556.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,123.198,-,90.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1296
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8,-,-,-,500,-,-,-,-,-,No,-,Dual,-,China,Yes,-,556.0,-,Non Drum,-,922.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH8C,KATTLWASH8*,AS/NZS 2040.1:2005/Amdt 3:2010,2.7178318889641697,-,2.5,-,0.0,-,0.8,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.8,-,152515,Approved,123.198,-,0.0,-,Non-Drum,-,0.7323,-,556.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,123.198,-,90.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1296
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8,-,-,-,500,-,-,-,-,-,No,-,Dual,-,China,Yes,-,556.0,-,Non Drum,-,922.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH8D,KATTLWASH8*,AS/NZS 2040.1:2005/Amdt 3:2010,2.7178318889641697,-,2.5,-,0.0,-,0.8,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.8,-,152515,Approved,123.198,-,0.0,-,Non-Drum,-,0.7323,-,556.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,123.198,-,90.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1296
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,8,-,-,-,500,-,-,-,-,-,No,-,Dual,-,China,Yes,-,556.0,-,Non Drum,-,922.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH8*,KATTLWASH8*,AS/NZS 2040.1:2005/Amdt 3:2010,2.7178318889641697,-,2.5,-,0.0,-,0.8,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.8,-,152515,Approved,123.198,-,0.0,-,Non-Drum,-,0.7323,-,556.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,123.198,-,90.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1296
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,9,-,-,-,621,-,-,-,-,-,No,-,Dual,-,China,Yes,-,590.0,-,Non Drum,-,970.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH9A,KATTLWASH9*,AS/NZS 2040.1:2005/Amdt 3:2010,2.500483914912632,-,2.5,-,0.0,-,0.5,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.5,-,152516,Approved,148.2,-,0.0,-,Non-Drum,-,0.7227,-,580.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,148.2,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1297
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,9,-,-,-,621,-,-,-,-,-,No,-,Dual,-,China,Yes,-,590.0,-,Non Drum,-,970.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH9B,KATTLWASH9*,AS/NZS 2040.1:2005/Amdt 3:2010,2.500483914912632,-,2.5,-,0.0,-,0.5,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.5,-,152516,Approved,148.2,-,0.0,-,Non-Drum,-,0.7227,-,580.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,148.2,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1297
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,Kogan,9,-,-,-,621,-,-,-,-,-,No,-,Dual,-,China,Yes,-,590.0,-,Non Drum,-,970.0,-,-,-,No,-,Top,-,Impeller,-,KATTLWASH9C,KATTLWASH9*,AS/NZS 2040.1:2005/Amdt 3:2010,2.500483914912632,-,2.5,-,0.0,-,0.5,-,"Standard, water level 8",-,"Australia,Fiji,New Zealand",0.5,-,152516,Approved,148.2,-,0.0,-,Non-Drum,-,0.7227,-,580.0,-,2028-02-16,,Single product class,Available,,http://www.kogan.com/au/,148.2,-,110.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ACW1297
